company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
BOSCHLTD,2016,+,-,-,Reinvestment
BOSCHLTD,2017,+,+,-,Shareholder Returns
BOSCHLTD,2018,+,-,-,Reinvestment
BOSCHLTD,2019,+,+,-,Shareholder Returns
BOSCHLTD,2020,+,-,-,Reinvestment
BOSCHLTD,2021,+,-,-,Reinvestment
BOSCHLTD,2022,+,-,-,Reinvestment
BOSCHLTD,2023,+,+,-,Shareholder Returns
BOSCHLTD,2024,+,+,-,Shareholder Returns
BPCL,2013,+,-,-,Reinvestment
BPCL,2014,+,-,-,Reinvestment
BPCL,2015,+,-,-,Reinvestment
BPCL,2016,+,-,-,Reinvestment
BPCL,2017,+,-,+,Mixed
BPCL,2018,+,-,-,Reinvestment
BPCL,2019,+,-,+,Mixed
BPCL,2020,+,-,+,Mixed
BPCL,2021,+,-,-,Reinvestment
BPCL,2022,+,-,-,Reinvestment
BPCL,2023,+,-,-,Reinvestment
BPCL,2024,+,-,-,Reinvestment
BRITANNIA,2013,+,+,-,Shareholder Returns
BRITANNIA,2014,+,-,-,Reinvestment
BRITANNIA,2015,+,-,-,Reinvestment
BRITANNIA,2016,+,-,-,Reinvestment
BRITANNIA,2017,+,-,-,Reinvestment
BRITANNIA,2018,+,-,-,Reinvestment
BRITANNIA,2019,+,-,-,Reinvestment
BRITANNIA,2020,+,-,+,Mixed
BRITANNIA,2021,+,+,-,Shareholder Returns
BRITANNIA,2022,+,+,-,Shareholder Returns
BRITANNIA,2023,+,-,-,Reinvestment
BRITANNIA,2024,+,+,-,Shareholder Returns
CANBK,2013,+,-,-,Reinvestment
CANBK,2014,+,-,-,Reinvestment
CANBK,2015,+,-,-,Reinvestment
CANBK,2016,+,-,-,Reinvestment
CANBK,2017,+,-,+,Mixed
CANBK,2018,-,-,+,Debt Funded Growth
CANBK,2019,+,-,-,Reinvestment
CANBK,2020,-,-,+,Debt Funded Growth
CANBK,2021,+,-,+,Mixed
CANBK,2022,+,-,+,Mixed
CANBK,2023,-,-,+,Debt Funded Growth
CANBK,2024,+,-,-,Reinvestment
CHOLAFIN,2013,-,+,+,Distress
CHOLAFIN,2014,-,-,+,Debt Funded Growth
CHOLAFIN,2015,-,-,+,Debt Funded Growth
CHOLAFIN,2016,-,-,+,Debt Funded Growth
CHOLAFIN,2017,-,-,+,Debt Funded Growth
CHOLAFIN,2018,-,-,+,Debt Funded Growth
CHOLAFIN,2019,-,-,+,Debt Funded Growth
CHOLAFIN,2020,-,-,+,Debt Funded Growth
CHOLAFIN,2021,-,-,+,Debt Funded Growth
CHOLAFIN,2022,-,+,+,Distress
CHOLAFIN,2023,-,-,+,Debt Funded Growth
CHOLAFIN,2024,-,-,+,Debt Funded Growth
CIPLA,2013,+,-,+,Mixed
CIPLA,2014,+,-,-,Reinvestment
CIPLA,2015,+,-,+,Mixed
CIPLA,2016,+,-,+,Mixed
CIPLA,2017,+,-,-,Reinvestment
CIPLA,2018,+,-,-,Reinvestment
CIPLA,2019,+,-,-,Reinvestment
CIPLA,2020,+,+,-,Shareholder Returns
CIPLA,2021,+,-,-,Reinvestment
CIPLA,2022,+,-,-,Reinvestment
CIPLA,2023,+,-,-,Reinvestment
CIPLA,2024,+,-,-,Reinvestment
COALINDIA,2013,+,-,-,Reinvestment
COALINDIA,2014,+,+,-,Shareholder Returns
COALINDIA,2015,+,+,-,Shareholder Returns
COALINDIA,2016,+,+,-,Shareholder Returns
COALINDIA,2017,+,+,-,Shareholder Returns
COALINDIA,2018,+,-,-,Reinvestment
COALINDIA,2019,+,-,-,Reinvestment
COALINDIA,2020,+,+,-,Shareholder Returns
COALINDIA,2021,+,+,-,Shareholder Returns
COALINDIA,2022,+,-,-,Reinvestment
COALINDIA,2023,+,-,-,Reinvestment
COALINDIA,2024,+,-,-,Reinvestment
DABUR,2013,+,-,-,Reinvestment
DABUR,2014,+,-,-,Reinvestment
DABUR,2015,+,-,-,Reinvestment
DABUR,2016,+,-,-,Reinvestment
DABUR,2017,+,-,-,Reinvestment
DABUR,2018,+,-,-,Reinvestment
DABUR,2019,+,+,-,Shareholder Returns
DABUR,2020,+,-,-,Reinvestment
DABUR,2021,+,-,-,Reinvestment
DABUR,2022,+,-,-,Reinvestment
DABUR,2023,+,-,-,Reinvestment
DABUR,2024,+,-,-,Reinvestment
DIVISLAB,2013,+,-,-,Reinvestment
DIVISLAB,2014,+,-,-,Reinvestment
DIVISLAB,2015,+,-,-,Reinvestment
DIVISLAB,2016,+,-,-,Reinvestment
DIVISLAB,2017,+,-,+,Mixed
DIVISLAB,2018,+,-,-,Reinvestment
DIVISLAB,2019,+,-,-,Reinvestment
DIVISLAB,2020,+,-,-,Reinvestment
DIVISLAB,2021,+,+,-,Shareholder Returns
DIVISLAB,2022,+,-,-,Reinvestment
DIVISLAB,2023,+,-,-,Reinvestment
DIVISLAB,2024,+,-,-,Reinvestment
DLF,2013,+,+,-,Shareholder Returns
DLF,2014,+,+,-,Shareholder Returns
DLF,2015,+,+,-,Shareholder Returns
DLF,2016,+,-,-,Reinvestment
DLF,2017,-,+,+,Distress
DLF,2018,+,-,-,Reinvestment
DLF,2019,+,+,+,Cash Accumulator
DLF,2020,+,+,-,Shareholder Returns
DLF,2021,+,+,-,Shareholder Returns
DLF,2022,+,+,-,Shareholder Returns
DLF,2023,+,-,-,Reinvestment
DLF,2024,+,-,+,Mixed
DMART,2013,+,-,+,Mixed
DMART,2014,+,-,+,Mixed
DMART,2015,+,-,+,Mixed
DMART,2016,+,-,+,Mixed
DMART,2017,+,-,+,Mixed
DMART,2018,+,+,-,Shareholder Returns
DMART,2019,+,-,+,Mixed
DMART,2020,+,-,+,Mixed
DMART,2021,+,-,-,Reinvestment
DMART,2022,+,-,-,Reinvestment
DMART,2023,+,-,-,Reinvestment
DMART,2024,+,-,-,Reinvestment
DRREDDY,2013,+,-,-,Reinvestment
DRREDDY,2014,+,-,-,Reinvestment
DRREDDY,2015,+,-,-,Reinvestment
DRREDDY,2016,+,-,-,Reinvestment
DRREDDY,2017,+,-,-,Reinvestment
DRREDDY,2018,+,-,-,Reinvestment
DRREDDY,2019,+,-,-,Reinvestment
DRREDDY,2020,+,-,-,Reinvestment
DRREDDY,2021,+,-,-,Reinvestment
DRREDDY,2022,+,-,-,Reinvestment
