id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,broad_sector,net_profit_margin,operating_profit_margin,roe,ebit,roce,roa,debt_to_equity,interest_coverage,net_debt,asset_turnover,debt_free,high_leverage_flag
150,ADANIPOWER,2017,22616,16635,5980.0,26.44,-3666,5902,2672,-6260,-1.0,-6174,-16.0,0.0,218,3857.0,-857,52484,16027,71511,54391,125,164,16831,71511,Energy,-27.299257163070394,26.44145737530951,-205.79999999999998,3308.0,5.962079157955447,-8.633636783152241,17.494666666666667,0.3920704845814978,52320,0.31625903707121983,No,True
151,ADANIPOWER,2018,20304,14868,5436.0,26.77,754,5570,2699,-2079,0.0,-2103,-5.0,0.0,219,3857.0,-2968,52835,15804,69528,52137,120,0,17271,69528,Energy,-10.35756501182033,26.773049645390074,-236.55793025871765,2737.0,5.09455736728464,-3.0246807041767347,59.43194600674916,1.111310592459605,52835,0.29202623403520883,No,True
152,ADANIPOWER,2019,23884,18901,4983.0,20.86,2448,5657,2751,-976,1.0,-984,-3.0,0.0,220,3857.0,3855,46980,13293,67985,50419,350,3,17213,67985,Energy,-4.119912912409982,20.86333947412494,-12.759336099585061,2232.0,4.081035617640605,-1.4473780981098772,6.091804979253112,1.313593777620647,46977,0.3513127895859381,No,True
153,ADANIPOWER,2020,26468,20734,5734.0,21.66,323,5315,3006,-2265,0.0,-2275,-6.0,0.0,221,3857.0,2624,55199,13346,75025,55846,2347,3,16830,75025,Energy,-8.595284872298626,21.66389602538915,-35.102607622280516,2728.0,4.422827496757458,-3.032322559146951,8.517049837987965,1.139604891815616,55196,0.3527890703098967,No,True
154,ADANIPOWER,2021,26221,17533,8688.0,33.13,1909,5106,3202,2289,45.0,1270,3.0,0.0,222,3857.0,9256,52519,13175,78806,52851,6439,20,19495,78806,Energy,4.84344609282636,33.13374775942947,9.685045374818882,5486.0,8.358727450024379,1.6115524198665077,4.005109433386716,2.0754014884449665,52499,0.3327284724513362,No,False
155,ADANIPOWER,2022,27711,17830,9881.0,35.66,3908,4095,3118,6577,25.0,4912,13.0,0.0,223,3857.0,14600,49145,14379,81981,53274,10270,183,18254,81981,Energy,17.725812854101257,35.6573201977554,26.613209080565635,6763.0,10.004141889293216,5.991632207462705,2.662675407704394,3.3672771672771673,48962,0.33801734548248985,No,False
156,ADANIPOWER,2023,38773,28677,10096.0,26.04,4216,3334,3304,7675,-40.0,10727,28.0,0.0,224,3857.0,26019,42350,13596,85821,51451,12880,654,20836,85821,Energy,27.666159440848016,26.038738297268715,35.90507430713616,6792.0,9.403815800404287,12.499271740017011,1.4175257731958764,4.2927414517096585,41696,0.4517891891262045,No,False
157,ADANIPOWER,2024,50351,32124,18228.0,36.2,9883,3388,3931,20792,0.0,20829,54.0,0.0,225,3857.0,39288,34616,14248,92009,63016,925,374,27694,92009,Energy,41.36759945184802,36.20186292228556,48.27674122146251,14297.0,18.385823227581948,22.638002804073516,0.8023177656738903,8.297225501770956,34242,0.5472399439185297,No,False
159,AMBUJACEM,2012,9749,7276,2473.0,25.37,69,78,569,1896,32.0,1292,8.0,43.0,227,308.0,8489,60,3487,12345,5951,524,1581,4289,12345,Materials,13.252641296543235,25.36670427736178,14.686825053995682,1904.0,21.497120921305182,10.46577561765897,0.006820506991019666,32.58974358974359,-1521,0.7897124341838802,No,False
160,AMBUJACEM,2013,9161,7492,1669.0,18.22,390,67,494,1498,15.0,1278,8.0,44.0,228,309.0,9153,48,3446,12956,6147,698,1714,4399,12956,Materials,13.950442091474729,18.218535094422005,13.506658211794548,1175.0,12.355415352260778,9.864155603581352,0.0050729232720355105,30.73134328358209,-1666,0.7070855202222909,No,False
161,AMBUJACEM,2014,9955,8022,1934.0,19.43,419,66,513,1774,16.0,1487,10.0,46.0,229,310.0,9760,34,3774,13878,6310,692,2097,4780,13878,Materials,14.937217478653944,19.427423405323957,14.766633565044687,1421.0,14.063737133808393,10.714800403516357,0.0033763654419066533,35.65151515151515,-2063,0.7173223807465052,No,False
162,AMBUJACEM,2015,9437,7895,1542.0,16.34,353,92,630,1173,31.0,808,5.0,54.0,230,310.0,9961,35,3827,14133,6170,416,2149,5398,14133,Materials,8.562043022146868,16.33993853979019,7.866809463538117,912.0,8.849214050067921,5.717115969716267,0.0034076526141563626,20.597826086956523,-2114,0.6677280124531239,No,False
163,AMBUJACEM,2016,20094,16913,3181.0,15.83,441,153,1461,2008,29.0,1434,6.0,50.0,231,397.0,19424,29,12974,32824,21410,582,175,10657,32824,Materials,7.136458644371454,15.830596197870012,7.234751021643711,1720.0,8.664987405541561,4.368754569826956,0.00146309469754301,23.673202614379086,-146,0.6121740190104802,No,False
164,AMBUJACEM,2017,23609,19751,3858.0,16.34,335,206,1219,2768,30.0,1945,8.0,47.0,232,397.0,20275,24,14813,35509,20898,667,153,13791,35509,Materials,8.238383667245541,16.34122580371892,9.408862229102168,2639.0,12.751256281407036,5.477484581373736,0.0011609907120743034,20.354368932038835,-129,0.6648736939930722,No,False
165,AMBUJACEM,2018,26041,22030,4011.0,15.4,232,170,1154,2919,-2.0,2973,11.0,14.0,233,397.0,21973,40,14981,37391,20636,1008,133,15613,37391,Materials,11.416612265273992,15.402634307438271,13.29012069736254,2857.0,12.748772869254795,7.951111229975128,0.001788109074653554,24.958823529411763,-93,0.6964510176245621,No,False
166,AMBUJACEM,2019,27104,22507,4597.0,16.96,601,170,1153,3875,28.0,2783,11.0,14.0,234,397.0,23681,41,16059,40178,20701,1554,150,17773,40178,Materials,10.267857142857142,16.960596221959857,11.558268959215882,3444.0,14.279198971764998,6.926676290507243,0.0017027992358169283,30.576470588235296,-109,0.6745980387276619,No,False
167,AMBUJACEM,2020,24516,19511,5006.0,20.42,288,140,1162,3992,22.0,3107,12.0,151.0,235,397.0,22360,471,16490,39718,20486,2422,167,16643,39718,Materials,12.673356175558819,20.41931799641051,13.65294195192688,3844.0,16.54899259514379,7.822649680245733,0.02069692841762974,37.81428571428572,304,0.6172516239488394,No,False
168,AMBUJACEM,2021,28965,22755,6210.0,21.44,252,146,1152,5164,28.0,3711,14.0,45.0,236,397.0,24957,477,19374,45205,22254,2168,198,20585,45205,Materials,12.812014500258934,21.439668565510097,14.636743709079436,5058.0,19.581123456312184,8.209268886185155,0.01881359943204228,44.26027397260274,279,0.6407477048999004,No,False
169,AMBUJACEM,2023,38937,33815,5122.0,13.15,447,195,1645,3729,19.0,3024,13.0,19.0,237,397.0,31301,523,19501,51721,23551,2526,214,25430,51721,Materials,7.766391863779952,13.154583044405063,9.540034071550256,3477.0,10.791098972719656,5.846754703118656,0.016499463688560794,28.55897435897436,309,0.7528276715454071,No,False
170,AMBUJACEM,2024,33160,26760,6400.0,19.3,1401,276,1623,5901,20.0,4738,16.0,12.0,238,440.0,41016,699,23107,65261,32388,2658,849,29365,65261,Materials,14.288299155609169,19.300361881785282,11.428984947896565,4777.0,11.33198908788993,7.2600787606687,0.01686125048243921,28.264492753623188,-150,0.5081135747230352,No,False
