company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_to_equity,interest_coverage,asset_turnover,net_debt,debt_free,high_leverage_flag,revenue_cagr_3y,revenue_cagr_5y,revenue_cagr_10y,pat_cagr_3y,pat_cagr_5y,pat_cagr_10y,eps_cagr_3y,eps_cagr_5y,eps_cagr_10y,free_cash_flow,cashflow_quality,cashflow_status,broad_sector,pe_ratio,pb_ratio,dividend_yield_pct,roe_score,roce_score,npm_score,fcf_score,cash_quality_score,revenue_growth_score,pat_growth_score,debt_score,interest_score,composite_score
COALINDIA,2024,26.25628846856468,66.29380849329698,45.16982956605826,98.1670083918748,15.802850255846408,0.0788468512027076,11.24178180085755,0.6018691588785047,-587,No,0,16.49,7.4,7.26,43.29,16.43,9.48,42.68,16.85,9.78,13617.0,0.98,Positive,Materials,34.27,14.75,4.38,0.9133079015450617,1.9260509525510796,5.3986709812006834,26.707283080476245,28.82882882882883,17.18705242050988,12.496852706672264,95.2482469080914,0.21766603196358608,19.41985425040273
ASIANPAINT,2024,15.658543456824903,21.3692069305536,29.677488252883386,31.75172153570418,18.58800709006388,0.1321016659547202,41.00487804878049,1.187084044011906,-2114,No,0,17.8,13.03,11.25,20.12,20.28,15.97,19.98,20.97,15.93,3556.0,1.1,Positive,Materials,73.37,3.9,2.42,0.5062761553580852,0.5845250936747812,2.9321643019686094,6.675825269780591,39.639639639639654,33.31423660842165,15.728073856483427,92.03881334420286,1.0089335219893638,19.299477778818133
DIVISLAB,2024,20.39515615041428,28.17080943275972,11.78984599513669,13.49639015765434,10.34928848641656,0.0002210596124088,636.25,0.5074385510996119,-79,No,0,4.03,9.66,11.97,-6.92,3.41,7.55,-7.17,3.3,7.54,992.0,1.18,Positive,Healthcare,69.95,12.34,1.39,0.03631244127783371,0.21578469872556627,4.0345579557819224,1.5708995341058418,46.846846846846844,23.660842165568603,1.569450272765422,99.98667770899235,16.833836605763743,19.047339535757963
HINDUNILVR,2024,16.611735814915342,76.31672482874498,20.074973642078955,87.32306174338734,13.099924830230988,0.0289741887617634,57.847001223990205,0.7885945801322478,-3141,No,0,9.59,9.5,7.79,8.73,11.15,10.02,8.97,9.46,9.35,10145.0,1.01,Positive,Consumer Staples,34.51,11.88,4.32,0.253988382269984,1.7070135060558937,3.154009167571493,19.794528730139767,31.53153153153153,23.202520767688338,8.065463701216952,98.25385302096218,1.4566901807907204,18.900749516127384
MARUTI,2024,9.50809964894472,13.130031439890594,15.750385351954783,15.59092764270305,11.697772843960314,0.0013896025036199,117.90721649484536,1.230295566502463,-57177,No,0,26.32,10.51,12.28,45.39,12.01,16.8,43.56,11.14,16.39,4936.0,1.05,Positive,Consumer Discretionary,20.78,8.26,1.78,0.1403680657738544,0.2580923711242967,1.500717261529992,9.423406203958109,35.135135135135144,26.095674591807498,8.7872429710449,99.91625476613994,3.0534224357923803,18.116369478777436
WIPRO,2024,12.379679144385026,18.66310160427808,14.908832329303795,14.665157475988485,9.69557364604874,0.2209088591630553,15.444621513944224,0.7831845666570688,-16919,No,0,13.17,8.75,7.53,0.74,4.26,3.35,3.23,9.46,6.25,18766.0,0.91,Positive,,,,,0.11825786374601371,0.23939269102333777,2.1690452876905915,36.95894556604149,22.522522522522525,21.054139215124604,2.282836760386068,86.68679422771925,0.32940072525803227,18.076913613929293
ICICIGI,2024,9.366915605017816,87.42129155073948,15.7230643179025,145.22875816993462,3.031212484993997,0.0028676771814829,160.02678571428572,0.3236083907247109,-48549,No,0,18.99,12.91,16.76,9.22,12.84,13.95,6.82,11.14,12.51,486.0,1.06,Positive,Financials,49.0,7.86,3.46,0.13965025766640732,2.8766537020047966,1.4678582536032163,0.5634531915740851,36.03603603603604,32.97049556001145,9.483843894250946,99.82717770328361,4.173193226425745,18.05853740751131
DRREDDY,2024,19.9136053693192,28.321016743422227,19.74233736816026,21.361052353252248,14.383702939659615,0.0708572237559283,51.707602339181285,0.7223053120165034,-2928,No,0,13.72,12.64,7.64,41.91,23.39,11.01,42.82,23.84,11.28,509.0,1.03,Positive,Healthcare,11.73,10.19,0.09,0.2452489980361035,0.3746434224644246,3.922482394740899,0.6092462071437105,33.333333333333336,32.19707820108851,18.33822912295426,95.72974662994875,1.2934710484335206,17.951602717799336
ADANIPORTS,2024,30.339560480700836,58.36172363445772,15.3548827162833,11.44374462092168,6.926554927819896,0.937322369168972,5.949506037321624,0.2283010965905691,45181,No,0,28.63,19.58,18.65,17.08,14.91,16.62,14.98,14.87,16.86,8250.0,1.03,Positive,Industrials,48.9,2.31,1.16,0.1299769876814802,0.1743232039856992,6.349006895104867,16.02158244733803,33.333333333333336,52.076768834144936,11.221149811162402,43.51170150900322,0.07696811112043568,17.778398613264116
BAJAJ-AUTO,2024,17.178515712057056,19.53420993982616,26.61418410330778,27.207358942799765,19.59129727531517,0.0660175402251225,174.41666666666666,1.1404534363562424,-26175,No,0,17.38,8.13,8.34,16.64,9.36,8.59,18.0,10.18,8.96,6486.0,1.05,Positive,Consumer Discretionary,29.91,9.83,3.59,0.42579367618347397,0.4927332755698051,3.285920852595608,12.509457253215468,35.135135135135144,19.278143798338583,6.563155686109945,96.02141307991569,4.555755742372143,17.7646253788764
